        INPUT LENGTH          LCS LENGTH     RECURSIVE CALLS                TIME
                  88                  33                   0                   1
                 164                 138                   0                   2
                 286                 255                   0                   5
                 401                 378                   0                   4
                 474                 471                   0                   8
                 594                 567                   0                   9
                 706                 611                   0                   2
                 806                 742                   0                   3
                 894                 890                   0                   4
                 980                 913                   0                   4
                1016                1015                   0                   5
                1169                1121                   0                   6
                1266                1263                   0                   8
                1370                1321                   0                  12
                1496                1420                   0                  13
                1564                1530                   0                  15
                1679                1659                   0                  15
                1774                1718                   0                  17
                1884                1816                   0                  19
                2002                2001                   0                  22
                2101                2078                   0                 118
                2127                2123                   0                  66
                2299                2217                   0                  78
                2361                2344                   0                  97
                2481                2456                   0                 102
                2575                2527                   0                 119
                2614                2611                   0                 123
                2797                2716                   0                 184
                2829                2815                   0                 143
                2945                2939                   0                 154
                3091                3080                   0                 174
                3209                3144                   0                 193
                3292                3212                   0                 178
                3379                3336                   0                 215
                3508                3454                   0                 241
                3583                3544                   0                 236
                3706                3627                   0                 238
                3779                3720                   0                 247
                3860                3826                   0                 323
                3987                3986                   0                 276
                4096                4033                   0                 313
                4178                4158                   0                 299
                4266                4247                   0                 383
                4387                4330                   0                 331
                4435                4410                   0                 338
                4558                4533                   0                 425
                4688                4628                   0                 416
                4800                4791                   0                 405
                4871                4859                   0                 487
                4945                4918                   0                 423
                5106                5017                   0                 511
                5179                5113                   0                 506
                5284                5247                   0                 543
                5389                5354                   0                 528
                5454                5438                   0                 587
                5577                5522                   0                 591
                5679                5647                   0                 610
                5754                5723                   0                 593
                5857                5836                   0                 671
                5938                5922                   0                 669
                6109                6024                   0                 759
                6178                6164                   0                 815
                6276                6231                   0                 790
                6389                6335                   0                 790
                6479                6432                   0                 846
                6537                6536                   0                 835
                6661                6654                   0                 846
                6770                6734                   0                 884
                6896                6818                   0                 901
                6961                6958                   0                 981
                7093                7028                   0                1000
                7198                7165                   0                1014
                7305                7258                   0                1080
                7325                7317                   0                1083
                7479                7449                   0                1065
                7542                7518                   0                1139
                7647                7647                   0                1126
                7781                7740                   0                1220
                7858                7819                   0                1204
                7962                7928                   0                1294
                8089                8060                   0                1393
                8187                8153                   0                1379
                8305                8236                   0                1407
                8363                8347                   0                1643
                8487                8464                   0                1464
                8543                8527                   0                1606
                8682                8613                   0                1505
                8802                8753                   0                1524
                8895                8820                   0                1828
                8976                8953                   0                1619
                9103                9070                   0                1877
                9208                9112                   0                1969
                9298                9275                   0                1777
                9344                9331                   0                1882
                9494                9467                   0                2038
                9606                9514                   0                1929
                9645                9628                   0                1964
                9736                9713                   0                2128
                9881                9834                   0                2048
               10003                9960                   0                2080
