INPUT LENGTH          LCS LENGTH     RECURSIVE CALLS                TIME
                2643                1316                1443                 466
                5230                3018                4804                 689
                8220                4687               10208                1586
               11459                6808               17906                3324
               12307                7947               27225                4401
               15770               10060               38721                7209
               18296               11895               52268               10204
               23374               15128               69717               16510
               25460               16152               88607               19031
               28907               18576              109962               27737
               30984               20117              132941               31792
               35956               22836              158840               39044
               38188               24363              186938               44579
               40082               26085              217064               51150
               44999               29015              250843               63712
               47054               30494              286324               70960
               50236               32460              324065               79966
               53060               34370              363892               89072
               56683               37059              406449              103866
               59563               38648              450710              113315
               62700               40343              496692              123646
               64886               42355              544720              135473
               68177               44239              595027              147659
               70420               45906              647350              166211
               74466               48548              703165              189920
