        INPUT LENGTH          LCS LENGTH     RECURSIVE CALLS                TIME
                 107                  33                2522                   3
                 569                 298              148416                  42
                 856                 465              372413                  49
                 988                 629              681934                  66
                1382                 867             1255768                  95
                1799                1064             1943305                 183
                2054                1266             2683909                 211
                2264                1453             3587532                 336
                2660                1691             4844819                 335
                2983                1912             6261813                 435
                3163                2050             7167108                 542
                3600                2293             8851609                 646
                3733                2416             9928540                 777
                4100                2615            11710016                 836
                4420                2829            13354323                 967
                4638                3006            15112889                1095
                5010                3271            17894507                1277
                5316                3423            19759208                1492
                5644                3618            21949526                1597
                5928                3849            24997576                1829
                6289                4052            27786203                2040
                6553                4216            29959970                2287
                6713                4359            32053709                2278
                7140                4631            36035101                2567
                7413                4819            38906179                2889
                7705                4965            41857687                3050
